RDKit Canonical Smiles,Molecule ChEMBL ID,Embeddings_tsne_x,Embeddings_tsne_y,Embeddings_Divergence_Pearson_Correlation,Embeddings_Divergence_Kendall_Correlation
Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,CHEMBL655,0.12125346,0.67172694,0.76693441994972,0.03767217872943
CC1(C)SSC(C)(C)[C@@H](NC(=O)[C@@H](N)Cc2ccc(O)cc2)C(=O)NCC(=O)N[C@H](Cc2ccccc2)C(=O)N[C@H]1C(=O)O,CHEMBL294616,0.8240689,0.10666147,0.727501994774526,0.345366804091614
CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,CHEMBL1790041,0.5050914,0.4733271,0.195173488792122,0.136055719874058
C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@]5(C)[C@H]6C[C@@H](O)[C@]7(C)[C@@H](C8=CC(=O)OC8)CC[C@]7(O)[C@@H]6CC[C@@H]5C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,CHEMBL1751,0.654162,0.10075903,0.65042476236775,0.405480593956985
CC/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)(C)O)C(=O)N[C@H](C(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,CHEMBL2372465,0.9393736,0.07501176,0.729701866522786,0.422990976152336
C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@H](CC(C)C)C(=O)N[C@H](C(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,CHEMBL2372478,0.95261955,0.023498952,0.706129099898491,0.4194457137979
CC(C)[C@@H]1OC(=O)[C@@H](C)[C@@H](C)OC(=O)C[C@@H](O)[C@H](Cc2ccccc2)N(C)C1=O,CHEMBL37203,0.70191073,0.14392722,0.794157129389534,0.410406801279508
CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,CHEMBL115,0.6232636,0.48697603,0.806631680551934,0.186111208753685
COc1cc(C(=O)Nc2ccc(-c3cccc([N+](=O)[O-])c3)cc2)cc(OC)c1OC,CHEMBL1945309,0.19444361,0.46176004,0.776331876011152,0.250608871190475
COc1cc(C(=O)Nc2ccc(-c3cc(OC)c(OC)c(OC)c3)cc2[N+](=O)[O-])cc(OC)c1OC,CHEMBL1945308,0.21032915,0.40790653,0.792141912107371,0.217415975775714
COc1cc(NC(=O)c2ccc(-c3ccccc3)cc2[N+](=O)[O-])cc(O)c1O,CHEMBL1945984,0.027813315,0.51350427,0.722922763485154,0.17753930671541
COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3ccc(C(=O)O)c(NC(=O)c4ccc5ccccc5n4)c3)cc1)CC2.O=C(O)C(F)(F)F,CHEMBL1779518,0.29428226,0.64352685,0.635534660113119,0.09187050251332
COc1cc(/C=C/c2cccc(O)c2)cc(OC)c1,CHEMBL175736,0.104988575,0.28574443,0.68325427575335,0.207166853303471
COc1cc(OC)cc(-c2ccc3cc(OC)ccc3c2)c1,CHEMBL194888,0.14531487,0.47083592,0.829696615777077,0.242403547271002
Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1,CHEMBL1380,0.6776603,0.31729496,0.503569306716016,0.291078091182541
COCCOCCOCCOc1cc2c(cc1OC)CCN(CCc1ccc(NC(=O)c3ccc(C(=O)OC)c(NC(=O)c4ccc5ccccc5n4)c3)cc1)C2,CHEMBL1779526,0.44148576,0.5289707,0.329986932337502,-0.07309969418346
COCCOCCOCCOc1cc2c(cc1OC)CCN(CCc1ccc(NC(=O)c3ccc(C(=O)O)c(NC(=O)c4ccc5ncccc5c4)c3)cc1)C2.O=C(O)C(F)(F)F,CHEMBL1779523,0.46195447,0.53627056,0.407100810702024,-0.090916395080823
COCCOCCOCCOc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3ccc(C(=O)O)c(NC(=O)c4ccc5ccccc5n4)c3)cc1)CC2.O=C(O)C(F)(F)F,CHEMBL1779520,0.46199542,0.53570324,0.415147889992103,-0.089269304355249
CN(C)c1ccc2c(-c3ccc(C(=O)N4CCCCC4)s3)c3ccc(=[N+](C)C)cc-3sc2c1.F[P-](F)(F)(F)(F)F,CHEMBL2205786,0.40584892,0.9837423,0.504962513436068,-0.169685496060541
CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,CHEMBL159,0.6188066,0.1790297,0.768287497723987,0.34923345000226
C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@H](CC(C)C)C(=O)N[C@H](C(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,CHEMBL2372495,0.96436083,0.048165828,0.710663679543052,0.420379734758134
O=C(Nc1ccc(-c2ccccc2)cc1[N+](=O)[O-])c1cc(O)c(O)c(O)c1,CHEMBL1945316,0.017443448,0.5187659,0.665822705799286,0.102892954167692
COC1=CC(C(=O)Nc2ccc(-c3ccccc3)cc2[N+](=O)[O-])=CC(=O)C1=O,CHEMBL1945985,0.03744611,0.5461817,0.67600287378315,0.070473387935061
COc1cc(C(=O)Nc2ccc(-c3ccccc3)cc2N)cc(O)c1O,CHEMBL1945979,0.05877894,0.4991671,0.722790591958705,0.197555476325582
COc1cc(C(=O)Nc2ccc(-c3ccc4c(c3)OCO4)cc2[N+](=O)[O-])cc(OC)c1OC,CHEMBL1945306,0.21591245,0.4564957,0.795471275795172,0.218791899125736
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl,CHEMBL1480,0.44937125,0.38389808,0.497453496435989,0.25230115647864
COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,CHEMBL107,0.25550818,0.28049248,0.632282139010508,0.205976729821883
COC(=O)c1ccc(C(=O)Nc2ccc(CCN3CCc4cc(OC)c(OC)cc4C3)cc2)cc1NC(=O)c1cccnc1,CHEMBL456361,0.31850705,0.6095616,0.565861951261617,0.114899642962956
CCCC[C@H]1OC(=O)C[C@H](O)[C@H](Cc2ccccc2)N(C)C(=O)COC(=O)[C@H]1C,CHEMBL288741,0.7132414,0.1537297,0.817467606083371,0.393298148529419
COCO[C@H](CC(=O)OC)[C@H](Cc1ccccc1)N(C)C(=O)OCc1ccccc1,CHEMBL39074,0.57987344,0.48852086,0.295270970602487,0.086266376751917
Nc1nc2sc3c(c2c(=O)s1)CCCC3,CHEMBL452241,0.5602243,0.7874228,0.323647656495719,-0.049417743385274
COCCOCCOCCOc1cc2c(cc1OC)CCN(CCc1ccc(NC(=O)c3ccc(C(=O)OC)c(NC(=O)c4ccc5ncccc5c4)c3)cc1)C2,CHEMBL1777831,0.44196695,0.5323914,0.323342787171247,-0.073827828802997
COCCOCCOCCOc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3ccc(C(=O)OC)c(NC(=O)c4ccc5ncccc5c4)c3)cc1)CC2,CHEMBL1779525,0.44196874,0.5323839,0.323334135123973,-0.07384791527526
COCCOCCOCCOc1cc2c(cc1OC)CCN(CCc1ccc(NC(=O)c3ccc(C(=O)O)c(NC(=O)c4ccc5ccccc5n4)c3)cc1)C2.O=C(O)C(F)(F)F,CHEMBL1779522,0.46199548,0.5357033,0.415147799895353,-0.089319520535907
COCCOCCOCCOc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3ccc(C(=O)O)c(NC(=O)c4ccc5ncccc5c4)c3)cc1)CC2.O=C(O)C(F)(F)F,CHEMBL1779521,0.4619545,0.53627056,0.407100739486347,-0.090936481553086
COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3ccc(C(=O)O)c(NC(=O)c4ccc5ncccc5c4)c3)cc1)CC2.O=C(O)C(F)(F)F,CHEMBL1779519,0.2943223,0.6433411,0.642489920759652,0.091955870020438
COc1cc(NC(=O)c2cnc3ccccc3c2)cc(C(=O)Nc2ccc(CCN3CCc4cc(OC)c(OC)cc4C3)cc2)c1,CHEMBL453516,0.3370623,0.6187746,0.726532329735587,0.153405410291304
COC(=O)c1ccc(C(=O)Nc2ccc(CCN3CCc4cc(OC)c(OC)cc4C3)cc2)cc1NC(=O)c1cnccn1,CHEMBL501349,0.31217557,0.60844123,0.536958258763407,0.107166351141665
COC(=O)c1ccc(C(=O)Nc2ccc(CCN3CCc4cc(OC)c(OC)cc4C3)cc2)cc1NC(=O)c1cnc(C)cn1,CHEMBL457439,0.31205702,0.6028362,0.499381675765325,0.098408649234957
COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1,CHEMBL1484,0.46564814,0.36733356,0.055848823429887,0.125947202707657
CC[C@H](C)[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@@H](C)N(C)C(=O)[C@H](C2CCCCC2)NC(=O)[C@H](C(C)C)N(C)C(=O)[C@@H]([C@@H](C)CC)OC(=O)[C@H](C(C)(C)O)N(C)C(=O)[C@H](CC(C)C)NC(=O)[C@H](C(C)C)N(C)C1=O,CHEMBL2369621,0.87633884,0.05794564,0.773811184671346,0.433395768784618
COc1cc(C(=O)Nc2ccc(-c3ccccc3)cc2)cc(O)c1O,CHEMBL1945978,0.05943334,0.49971426,0.71475267207814,0.205630238175345
COc1cc(C(=O)Nc2cc(-c3ccccc3)ccc2[N+](=O)[O-])cc(OC)c1OC,CHEMBL1945302,0.19664761,0.4620369,0.772810571051476,0.249991212168385
COc1ccc(NC(=O)c2cc(OC)c(OC)c(OC)c2)c([N+](=O)[O-])c1,CHEMBL1945301,0.20980603,0.41579622,0.774122760600269,0.202983845454682
COc1cc(OC)c2c(=O)cc(N3CCN(Cc4ccc(S(=O)(=O)C(F)(F)F)cc4)CC3)oc2c1,CHEMBL3763805,0.4431846,0.7667055,0.570677507990417,-0.071091046957151
COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3ccc(C)c(NC(=O)c4cnc5ccccc5c4)c3)cc1)CC2,CHEMBL500094,0.33048752,0.634961,0.738677857518641,0.148418943551991
CC[C@H](C)[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](C(C)C)N(C)C(=O)[C@@H]([C@@H](C)CC)OC(=O)[C@H](C(C)(C)O)N(C)C(=O)N[C@H](CCC(=O)O)C(=O)NC(=O)[C@H](C(C)C)N(C)C1=O,CHEMBL1790687,0.83946013,0.09552431,0.778928260712238,0.414946344010967
COc1cc(/C=C/c2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)cc(OC)c1,CHEMBL207989,0.1342876,0.27823558,0.666177001479355,0.121051125093528
COc1cc(C(=O)Nc2ccc(Br)cc2[N+](=O)[O-])cc(OC)c1OC,CHEMBL1944869,0.20843856,0.43270254,0.784827485735725,0.196320158281401
COc1ccc(-c2ccc(-c3cc(OC)cc(OC)c3)cc2)cc1,CHEMBL207826,0.13964769,0.47697383,0.81588440419852,0.236362540737877
COC(=O)c1ccc(C(=O)Nc2ccc(CCN3CCc4cc(OC)c(OC)cc4C3)cc2)cc1NC(=O)c1ccc2ccccc2n1,CHEMBL502503,0.31987047,0.6261628,0.652738366258693,0.134303175169103
COc1cc(C(=O)Nc2ccc(-c3ccc(O)c(O)c3)cc2[N+](=O)[O-])cc(O)c1O,CHEMBL1945974,0.015453041,0.49310187,0.760837693258229,0.122522459186799
