RDKit Canonical Smiles,Molecule ChEMBL ID,Fingerprints_tsne_x,Fingerprints_ tsne_y,Daylight_tsne_x,Daylight_tsne_y,Molecular_Descriptors_tsne_x,Molecular_Descriptors_tsne_y,Fingerprints_Divergence_Pearson_Correlation,Fingerprints_Divergence_Kendall_Correlation,Daylight_Divergence_Pearson_Correlation,Daylight_Divergence_Kendall_Correlation,Molecular_Descriptors_Divergence_Pearson_Correlation,Molecular_Descriptors_Divergence_Kendall_Correlation,Molecular weight,aLogP,cx_most_apka,cx_most_bpka,Lipinski RO5 violations,Follows Lipinski’s RO5,QED_weighed,Bioactivity (P-glycoprotein 1)
COc1cc(OC)c(C(=O)Nc2ccc(-c3cccnc3)cc2F)cc1OC,CHEMBL3317923,0.06622335,0.5022032,0.58564395,0.9725208,0.7934026,0.7810879,0.484337657821334,-0.117229673745474,0.617477752607864,0.080928396748,0.587839609418712,0.254591014316633,382.39,4.17,13.36,4.71,0,True,0.69,1
COc1cc(OC)c(C(=O)Nc2ccc(-c3ccncc3)cc2F)cc1OC,CHEMBL3317932,0.07522631,0.47859648,0.5918584,0.97266686,0.79439133,0.7803459,0.51534538969592,-0.117430538468105,0.647717723463342,0.084589156317949,0.593214349276569,0.257724503989676,382.39,4.17,13.38,5,0,True,0.69,1
COc1ccc(C(=O)/C=C/c2cccc(/C=C/C(=O)c3ccc(OC)c(OC)c3)c2)cc1OC,CHEMBL3233502,0.19532453,0.30731195,0.59966546,0.89697886,0.73830885,0.85872966,0.623419454328442,-0.073591812753906,0.507062909003695,0.071959786882529,0.471131008212818,0.166446552408117,458.51,5.51,,,1,True,0.29,1
COc1cc(OC)c2c(=O)cc(-c3cc(OC)c(OC)c(OC)c3)oc2c1,CHEMBL2074901,0.19364068,0.65386623,0.85266507,0.9054877,0.7678945,0.72768766,0.540201275660502,-0.110696548641903,0.516117466975618,-0.050271418456455,0.502111673597994,0.232420570556245,372.37,3.5,,,0,True,0.66,1
O=C(Nc1ccc(CCN2CCc3ccccc3C2)cc1)Nc1ccccc1[N+](=O)[O-],CHEMBL475554,0.5554403,0.79471254,0.28332072,0.9571376,0.95666707,0.058566183,0.592820965758706,0.124470846996319,0.186178975207178,0.069413826523182,0.624067179923675,0.161133680494529,416.48,4.84,9.94,9.08,0,True,0.44,1
Cc1cccc(N2CCN(CC(O)COc3ccc(C(=O)c4ccccc4)cc3)CC2)c1C,CHEMBL2058784,0.4400206,0.47490957,0.16863254,0.8546812,0.7387696,0.21672738,0.304369339798771,0.135543514831349,0.324407123667332,0.114497913517694,0.406097620189017,0.126690402181391,444.58,4.1,,6.8,0,True,0.53,1
O=C(c1ccccc1)c1cccc(OCC(O)CN2CCN(c3ccc(F)cc3)CC2)c1,CHEMBL2058785,0.43257982,0.5045792,0.17751259,0.85789376,0.9473784,0.050544977,0.31046986818024,0.087315894927664,0.348800783375648,0.118896850943311,0.621952504070289,0.191594815681509,434.51,3.62,,6.65,0,True,0.55,1
O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,CHEMBL1112,0.3831843,0.6356026,0.5491704,0.83585596,0.9496082,0.028067142,0.3437859881088,-0.092151713125003,-0.176836171213994,-0.099854875237899,0.6578125476262,0.171945224190139,448.39,4.86,13.51,7.46,0,True,0.61,1
CC[C@H](C)[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](C(C)C)N(C)C(=O)[C@@H]([C@@H](C)CC)OC(=O)C(C(C)(C)O)N(C)C(=O)[C@H](CC(C)C)NC(=O)[C@H](C(C)C)N(C)C1=O,CHEMBL1790680,0.8234576,0.33221266,0.5537349,0.7419671,0.30109662,0.27998182,0.634322266493385,0.227444147053063,0.74955002686621,0.043000115497216,0.680039081600812,0.319585816941935,1101.44,,,,,Undefined,,1
O[C@@H](COc1cccc2ncccc12)CN1CCN([C@@H]2c3ccccc3[C@@H]3[C@H](c4ccccc42)C3(F)F)CC1,CHEMBL444172,0.39504626,0.5312195,0.65976167,0.8679622,0.6905875,0.36382815,0.234229814412471,-0.109129803805382,0.038643779160826,-0.068615389250724,0.258249460856332,0.061253697166301,527.62,5.21,,7.63,2,False,0.37,1
