tSNE_0,tSNE_1,Label
0.60078627,0.8483506,0
0.57041043,0.8626221,0
0.037852287,0.01649788,0
0.024809659,0.1187987,0
0,0.0938493,0
0.0025183558,0.09688941,0
0.05248797,0.067465454,0
0.014750242,0.103704035,0
0.24279585,0.19058727,0
0.3276723,0.29051363,0
0.24556005,0.17637788,0
0.41570622,0.5575628,0
0.21841142,0.19037583,0
0.22742483,0.2202452,0
0.41337788,0.40276775,0
0.5628295,0.88986045,0
0.46394625,0.48033056,0
0.64550704,0.18996827,0
0.014053881,0.09805456,0
0.8524374,0.077369094,0
0.8409227,0.06420919,0
0.8065824,0.072710276,0
0.7932335,0.06322658,0
0.23474246,0.21982393,0
0.22489673,0.18936355,0
0.049673855,0.14012057,0
0.22954166,0.20709841,0
0.6236305,0.5780486,0
0.32324678,0.3023887,0
0.066120446,0.11709237,0
0.3103173,0.2871565,0
0.23134628,0.18703143,0
0.32393178,0.28384274,0
0.38463056,0.44144502,0
0.21782243,0.20352748,0
0.06911135,0.03760892,0
0.066120446,0.11709237,0
0.31212017,0.30411887,0
0.6314094,0.58670187,0
0.019393861,0.1269606,0
0.23061016,0.20081678,0
0.97765553,0.30798706,0
0.9979788,0.30250412,0
0.9989174,0.31087705,0
0.8147606,0.068365455,0
0.85774946,0.06990111,0
0.4645942,0.49376905,0
0.5847431,0.882275,0
0.56762993,0.88692915,0
0.55379426,0.8753273,0
0.59645057,0.9034575,0
0.43547028,0.64119965,0
0.59674567,0.8693036,0
0.59470534,0.89490014,0
0.42275095,0.28570774,0
0.54707247,0.8811151,0
0.7183454,0.19417976,0
0.040060997,0.00806421,0
0.40549225,0.4813273,0
0.40530914,0.48029557,0
0.6352831,0.5906646,0
0.7083409,0.1833034,0
0.03431976,0.082909465,0
0.47426015,0.6743093,0
0.0667004,0.04594624,0
0.58893704,0.9393635,0
0.61859334,0.033685386,0
0.6428828,0.1863075,0
0.42163426,0.429692,0
0.4152432,0.4269499,0
0.871611,0.5133698,0
0.8596239,0.53280103,0
0.65648633,0.15851271,0
