tSNE_0,tSNE_1,Label
0.06561679,0.852055,0
0.53211564,0.8643325,0
0.5099172,0.8668646,0
0.22834371,0.6005034,0
0.45710203,0.88484,0
0.44081715,0.87564147,0
0.36939174,0.9869366,0
0.44844016,0.86311895,0
0.33392498,0.58732855,0
0.3278483,0.5851859,0
0.280042,0.6031157,0
0.2314173,0.59675556,0
0.46123746,0.8693914,0
0.27587733,0.79417294,0
0.8163079,0.86023957,0
0.5230091,0.8753349,0
0.5521439,0.7483012,0
0.31922466,0.60455525,0
0.28927165,0.60323226,0
0.3811885,0.9705572,0
0.4857204,0.8612018,0
0.28369963,0.6004035,0
0.38822222,0.7550506,0
0.37477547,0.7578955,0
0.36909872,0.76452774,0
0.38017195,0.76021343,0
0.367988,0.75863147,0
0.37333935,0.7607458,0
0.6941274,0.89503145,0
0.5172523,0.8087087,0
0.3760876,0.76128036,0
0.43658352,0.7536928,0
0.39638025,0.75934243,0
0.39990234,0.7577403,0
0.57181454,0.7563485,0
0.55481046,0.748745,0
0.21365751,0.99690706,0
0.22623861,0.9960543,0
0.21617702,0.99038917,0
0.9250934,0.77466536,0
0.5386329,0.74972665,0
0.5336339,0.7475975,0
0.51629996,0.73767996,0
0.50265026,0.7539208,0
0.5048082,0.7433774,0
0.3296305,0.58676934,0
0.27473706,0.59441483,0
0.27235323,0.6135272,0
0.27235818,0.61352295,0
0.22763245,0.59554684,0
0.27905118,0.59422445,0
0.36784458,0.9810595,0
0.21441485,0.99250364,0
0.37997347,0.98055947,0
0.38208926,0.8520245,0
0.35844177,0.98483217,0
0.37837708,0.9857082,0
0.54134893,0.8845386,0
0.53237736,0.74879754,0
0.58448005,0.8891551,0
0.41751695,0.85658664,0
0.2855903,0.58807826,0
0.86582255,0.8287501,0
0.85664785,0.8298001,0
0.19196439,0.8676617,0
0.195961,0.8717712,0
0.3737225,0.9869697,0
0.35878927,0.98701686,0
0.2895171,0.59876966,0
0.36544982,0.9867823,0
0.4512757,0.86462736,0
0.21898885,0.9956815,0
0.3085158,0.59538865,0
0.20580623,0.99663407,0
0.36290365,0.988209,0
0.20961137,0.9933534,0
0.38721848,0.96854395,0
0.36849934,0.9888277,0
0.22111723,0.59674585,0
0.31116003,0.59393406,0
0.21528913,1,0
0.44589472,0.8619009,0
0.28085762,0.59553367,0
0.37200192,0.9852706,0
0.49125367,0.87120914,0
0.48756692,0.8609349,0
0.48774093,0.8610736,0
0.18773448,0.86627245,0
0.86331475,0.8310287,0
0.5913477,0.8891918,0
0.5339979,0.7460113,0
0.5288181,0.74824446,0
0.5249155,0.7469455,0
0.5421411,0.73983574,0
0.36857003,0.80876386,0
0.5551203,0.7442724,0
0.54078054,0.7397367,0
