tSNE_0,tSNE_1,Label
0.78224385,0.8734548,0
0.8013728,0.4884565,0
0.29064524,0.22448799,0
0.024421215,0.5133421,0
0.6487303,0.17099506,0
0.59195894,0.41113225,0
0.5839958,0.3845525,0
0.8078221,0.48438317,0
0.58554965,0.3779113,0
0.8277572,0.5215687,0
0.79289436,0.981158,0
0.8052216,0.9494548,0
0.8280905,0.87685746,0
0.6487303,0.17099506,0
0.6505486,0.18057883,0
0.8091936,0.48553416,0
0.5234551,0.13617796,0
0.53918225,0.580897,0
0.58270204,0.4009727,0
0.5855497,0.37791362,0
0.58928216,0.3715812,0
0.5237653,0.64418435,0
0.5687372,0.41482288,0
0.66990006,0.24727193,0
0.7770437,0.41209942,0
0.7742931,0.45390588,0
0.7410529,0.4562648,0
0.9583372,0.048830688,0
0.9606829,0.058676332,0
0.75302476,0.4405643,0
0.26793692,0.09429267,0
0.779769,0.54720914,0
0.24889311,0.1609154,0
0.26381668,0.08011913,0
0.27300218,0.1665309,0
0.2784469,0.14000049,0
0.5461474,0.36705244,0
0.5630584,0.3492536,0
0.30449572,0.26631796,0
0.24368808,0.12363225,0
0.25429812,0.108881414,0
0.26191095,0.08924058,0
0.2650798,0.13823149,0
0,0.5108599,0
0.7334021,0.8627825,0
0.7551725,0.8800287,0
0.02066338,0.50288004,0
0.011899829,0.4901133,0
0.28261748,0.07922387,0
0.938197,0.0662792,0
0.53164375,0.4509069,0
0.29084647,0.2638873,0
0.8139296,0.54709625,0
0.24482775,0.16440666,0
0.24683613,0.1487796,0
0.27202302,0.14415032,0
0.27377,0.086612076,0
0.5760295,0.5510584,0
0.8573468,0.8739677,0
0.76229674,0.70733833,0
0.7565213,0.47806814,0
0.7100385,0.5050336,0
0.26487523,0.14288089,0
0.2620705,0.158802,0
0.51500356,0.41884515,0
0.032882333,0.4939637,0
0.27182359,0.15233958,0
0.761886,0.25247523,0
0.75289345,0.3111806,0
0.7326852,0.28313798,0
0.7525505,0.3019054,0
0.7408756,0.28287703,0
0.74181986,0.2725572,0
0.7903397,0.47421926,0
0.6698985,0.2472758,0
0.7467783,0.28391075,0
0.75685775,0.2890581,0
0.7526468,0.29944003,0
0.74368644,0.2658549,0
0.9481963,0.09042111,0
0.6998625,0.48817706,0
0.5519872,0.35150388,0
0.57793087,0.35185438,0
0.55876714,0.36415094,0
0.8112122,0.8854723,0
0.7729389,0.4364817,0
0.7750818,0.4132548,0
0.95586795,0.050594687,0
0.73973906,0.4541141,0
0.7679194,0.40026325,0
0.25128904,0.14541212,0
0.25889254,0.09264496,0
0.23278475,0.11222315,0
0.23270658,0.11265874,0
0.27191234,0.08043128,0
0.2713968,0.10655892,0
0.29501846,0.27269393,0
0.5533228,0.36589253,0
0.5200281,0.1346106,0
0.6955953,0.22942147,0
0.2904697,0.27379176,0
0.3027028,0.2472167,0
0.53284335,0.47050336,0
0.7767834,0.41280878,0
0.6007064,0.407382,0
0.5475351,0.12990993,0
0.2673256,0.10310912,0
0.9798032,0.029169112,0
0.8363593,0.7442057,0
0.8504952,0.73682004,0
0.8379345,0.7973514,0
0.29996365,0.24311833,0
0.2994795,0.25797254,0
0.256003,0.12508205,0
0.29503465,0.26578128,0
0.70468014,0.42784724,0
0.56969553,0.3504025,0
0.25933057,0.17345765,0
0.55843997,0.35298544,0
0.29722348,0.2580163,0
0.54239476,0.36121905,0
0.525764,0.44577557,0
0.30633023,0.25798753,0
0.27778032,0.095606685,0
0.27789676,0.17070475,0
0.5535318,0.3433306,0
0.98352104,0.09010595,0
0.25250068,0.119772315,0
0.2989411,0.2805578,0
0.026269019,0.52528864,0
0.032942533,0.5188322,0
0.024850309,0.5027494,0
0.9906962,0,0
0.9831954,0.027170539,0
0.5179908,0.51897657,0
0.7707846,0.42813024,0
