RDKit_Canonical_Smiles,Molecule_ChEMBL_ID,Fingerprints_tsne_x,Fingerprints_tsne_y,Daylight_tsne_x,Daylight_tsne_y,Molecular_Descriptors_tsne_x,Molecular_Descriptors_tsne_y,Embeddings_tsne_x,Embeddings_tsne_y,Embeddings_Divergence_Pearson_Correlation,Embeddings_Divergence_Kendall_Correlation,Fingerprints_Divergence_Pearson_Correlation,Fingerprints_Divergence_Kendall_Correlation,Daylight_Divergence_Pearson_Correlation,Daylight_Divergence_Kendall_Correlation,Molecular_Descriptors_Divergence_Pearson_Correlation,Molecular_Descriptors_Divergence_Kendall_Correlation,Molecular_weight,aLogP,cx_most_apka,cx_most_bpka,Lipinski_RO5_violations,Follows_Lipinskis_RO5,QED_weighed,Bioactivity_A
CC(C)[C@@H]1OC(=O)[C@@H](C)COC(=O)C[C@@H](O)[C@H](Cc2ccccc2)N(C)C1=O,CHEMBL38750,0.75723547,0.36739087,0.63960063,0.72110677,0.563698,0.33682874,0.7020769,0.14403543,0.80165987652374,0.471213574437955,0.561694450126586,0.43604216150528,0.531962250008798,0.202486705266171,0.146433191565225,0.190766248700656,391.46,1.57,,,0,TRUE,0.79,0
C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,CHEMBL2372490,0.97928727,0.32376072,0.28985044,0.62769866,0.26691124,0.12792677,0.96457064,0.055302262,0.711071313123905,0.622339170127398,0.590841435240403,0.540913633190887,0.639315728449588,0.385238451533853,0.711099263855129,0.431080802856296,1188.61,,,,,Undefined,,0
COc1ccc(C(=O)Nc2ccc(CCN3CCc4cc(OC)c(OC)cc4C3)cc2)cc1NC(=O)c1cnc2ccccc2c1,CHEMBL446339,0.49573615,0.83333325,0.39597744,0.93838173,0.69870067,0.5105973,0.33692825,0.62030864,0.720722961762679,0.543163318084353,0.436885756792281,0.108296215206464,0.468437111315646,0.095922948292399,0.422249121535073,0.412079000095411,616.72,6.37,,8.36,2,FALSE,0.19,0
COC(=O)c1ccc(C(=O)Nc2ccc(CCN3CCc4cc(OC)c(OC)cc4C3)cc2)cc1NC(=O)c1cnc2ccccc2n1,CHEMBL506278,0.474622,0.80960834,0.3712867,0.92548716,0.68946034,0.5145386,0.31536728,0.62047136,0.633383202429853,0.536379112077494,0.447119197330304,0.116772706501489,0.276867207982319,0.020463093618026,0.374540872164442,0.363555104725845,645.72,5.54,13.22,8.36,3,FALSE,0.19,0
COCO[C@H]1CC(=O)O[C@H](C)[C@H](C)C(=O)OCC(=O)N(C)[C@H]1Cc1ccccc1,CHEMBL38248,0.7146449,0.36233604,0.6706938,0.7272048,0.57243645,0.36393034,0.6951281,0.16192308,0.823670717542547,0.429599425526893,0.493705365483913,0.293920327007768,0.560106610811847,0.221086778581795,0.085770380484966,0.147238863306535,407.46,1.56,,,0,TRUE,0.54,0
COc1cc(C(=O)Nc2ccc(-c3ccccc3)cc2)cc(OC)c1OC,CHEMBL1944864,0.07813436,0.4235407,0.62152344,0.98477054,0.8113513,0.7372869,0.1799401,0.5187654,0.813381327077961,0.598617046384686,0.59075432261738,0.429087220484185,0.681991684111818,0.449399665560237,0.621430359036848,0.562506590873711,363.41,4.63,,,0,TRUE,0.69,0
O=C(Nc1ccc(Br)cc1[N+](=O)[O-])c1cc(O)c(O)c(O)c1,CHEMBL1945315,0,0.40176368,0.6684554,1,1,0.04636854,0,0.5038084,0.676894962358569,0.545749451388226,0.18056638264632,0.229116345868966,0.516400433249649,0.278463786601319,0.457029121729322,0.361626803388588,369.13,2.73,7.71,,0,TRUE,0.37,0
COc1cc(C(=O)Nc2ccc(-c3ccccc3)cc2NC(C)=O)cc(O)c1O,CHEMBL1945981,0.05985871,0.43123162,0.64797974,0.97839344,0.72097206,0.8312608,0.061913878,0.5068889,0.645732914895541,0.532969433410834,0.491623730277277,0.405124059074315,0.626674582310134,0.321132475306193,0.386847577832122,0.520917550052978,392.41,3.98,8.79,,0,TRUE,0.49,0
COc1cc(C(=O)Nc2ccc(-c3cccc(C(C)=O)c3)cc2[N+](=O)[O-])cc(OC)c1OC,CHEMBL1945307,0.031577855,0.42315674,0.69733363,0.98821545,0.7640166,0.75125825,0.201901,0.4499204,0.742606407536372,0.549329865069123,0.597719316730034,0.463992487659374,0.61570807885794,0.266271297937621,0.481554539856915,0.513997760358343,450.45,4.74,12.68,,0,TRUE,0.3,0
CC[C@H](C)[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@@H](C)N(C)C(=O)[C@H](CO)NC(=O)[C@H](C(C)C)N(C)C(=O)[C@@H]([C@@H](C)CC)OC(=O)[C@H](C(C)(C)O)N(C)C(=O)[C@H](CC(C)C)NC(=O)[C@H](C(C)C)N(C)C1=O,CHEMBL1790678,0.8421035,0.31075874,0.551056,0.7315133,0.31173268,0.2222524,0.8844241,0.06606275,0.747532746823588,0.610151703081767,0.610698658915238,0.539000396707827,0.761805762876596,0.381376827241274,0.63470574204476,0.427927226710991,965.24,0.9,11.67,,2,FALSE,0.19,0
COCCOCCOCCOc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3ccc(C(=O)OC)c(NC(=O)c4ccc5ccccc5n4)c3)cc1)CC2,CHEMBL1779524,0.4565623,0.82939374,0.39676258,0.9223422,0.663407,0.5030244,0.44146737,0.5289586,0.330049222203611,0.324612456625774,0.480727821717051,0.147449771265297,0.32617317228403,0.028708590482025,-0.137123513172072,0.20387769347039,776.89,6.19,13.79,8.35,3,FALSE,0.07,0
CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1,CHEMBL116,0.48298356,0.3122446,0.5977229,0.7956641,0.5357507,0.4568914,0.6111414,0.50677,0.758122503728326,0.195361029230839,0.467863259676235,0.28113528741231,0.563561635429488,0.160114292027177,0.113186501666135,0.109405992799,505.64,2.4,13.61,2.39,1,TRUE,0.4,0
CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@@H]12)S(=O)(=O)c1ccc(N)cc1,CHEMBL1323,0.4836224,0.31336367,0.59841853,0.7962354,0.53415066,0.45905128,0.6128539,0.5085164,0.777496055213991,0.302979325998423,0.487172161751929,0.34364941071312,0.548091035624902,0.168083599897559,0.068202262249825,0.051868293001371,547.67,2.38,13.59,2.39,1,TRUE,0.36,0
C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)NCC(=O)N(C)[C@H](CC(C)C)C(=O)N[C@H](C(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](CO)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,CHEMBL2372508,1.0000001,0.32044697,0.29494148,0.63190687,0.26330757,0.11597183,0.94586504,0.049325168,0.713006198554156,0.615996866510327,0.59576743566227,0.512656988334781,0.638082299849742,0.383360366377254,0.713392252646457,0.431341926995717,1204.61,,,,,Undefined,,0
CC[C@H](C)[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](C(C)C)N(C)C(=O)[C@@H]([C@@H](C)CC)OC(=O)[C@H](C(C)(C)O)N(C)C(=O)[C@H](CC(C)C)NC(=O)[C@@H](C(C)C)N(C)C1=O,CHEMBL1790694,0.82899153,0.32263938,0.5668021,0.74128383,0.30443075,0.2713049,0.8627008,0.09699643,0.770142093347439,0.530629359392183,0.633630244372777,0.533551941106463,0.749538541684335,0.323206403567357,0.679658075322092,0.408639191720356,1101.44,,,,,Undefined,,0
CC[C@H](C)[C@@H]1NC(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](C(C)C)N(C)C(=O)[C@@H]([C@@H](C)CC)OC(=O)[C@H](C(C)(C)O)N(C)C(=O)[C@H](CC(C)C)NC(=O)[C@H](C(C)C)N(C)C1=O,CHEMBL1790695,0.8316182,0.32379758,0.555404,0.7393993,0.30107328,0.26410383,0.8531549,0.09528434,0.769886212703968,0.525939168118751,0.633793675255055,0.534415659413776,0.749576061375466,0.327243784492239,0.679453712393159,0.409548104590261,1101.44,,,,,Undefined,,0
CCCCCCC[C@@H](O)[C@H](C)C(=O)OC,CHEMBL38854,0.51565003,0.21226409,0.66655105,0.7488507,0.5994868,0.22794902,0.6712856,0.41347575,0.583501583754812,0.500650299539518,0.388927814310621,0.243995400197852,0.564810239167103,0.434922340676613,-0.052368973337641,-0.036125520365172,216.32,2.52,,,0,TRUE,0.5,0
CCCCCCC[C@@H](O)[C@H](C)C(=O)O[C@H](C(=O)OC)C(C)C,CHEMBL40173,0.5156079,0.2121406,0.6665928,0.7488169,0.5951072,0.24060091,0.6720303,0.4145062,0.584999674958831,0.492585580925886,0.363935172885084,0.280859098418692,0.566183008782075,0.327474778923265,0.112455467367334,0.083404054454426,316.44,3.08,,,0,TRUE,0.47,0
COc1cc(C(=O)Nc2ccc(-c3ccccc3)cc2[N+](=O)[O-])cc(OC)c1OC,CHEMBL1944867,0.038044482,0.418556,0.673474,0.9876569,0.7733443,0.7536886,0.1966538,0.46203408,0.772807545678215,0.578455249850607,0.562797056071829,0.44003434786757,0.612608986265674,0.298881685656752,0.527392309611683,0.549646227007266,408.41,4.54,12.69,,0,TRUE,0.46,0
COC(=O)C[C@@H](O)[C@H](Cc1ccccc1)N(C)C(=O)OCc1ccccc1,CHEMBL37969,0.4752986,0.27328968,0.6902698,0.73615164,0.6656108,0.6018194,0.5812293,0.4890774,0.380752646750429,-0.024590863668091,0.277840859955228,-0.009998041568954,0.517098059029011,0.206750059004012,0.04808447915909,0.074365141936035,371.43,2.79,,,0,TRUE,0.72,0
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,CHEMBL532,0.73757905,0.21593492,0.6751977,0.78494054,0.32633474,0.19761133,0.66094553,0.09392655,0.699068107473501,0.607751369646327,0.379560684809827,0.315473111746067,0.619280322693261,0.257332817780545,0.551551020879572,0.439341364574493,733.94,1.79,12.45,8.38,2,FALSE,0.24,0
C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N[C@@H](C(C)C)C(=O)N[C@H](C(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,CHEMBL2372463,0.9829508,0.32767767,0.27505165,0.62431955,0.27480197,0.11085695,0.98014116,0.050403297,0.708606551230988,0.626180707947715,0.59073951721698,0.546286764521264,0.637632025029742,0.382807988390019,0.705736965571127,0.431055694765968,1174.58,,,,,Undefined,,0
COCO[C@@H]1CC(=O)O[C@H](C)[C@H](C)C(=O)O[C@@H](C(C)C)C(=O)N(C)[C@H]1Cc1ccccc1,CHEMBL290433,0.7455119,0.3752333,0.65218806,0.72693694,0.5445691,0.35104722,0.70047665,0.15617722,0.837388069356854,0.534606480900276,0.542258904274819,0.398696387950125,0.566387498232143,0.213860670185147,0.334837601295919,0.378860996590321,449.54,2.58,,,0,TRUE,0.49,0
C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H]([C@@H](C)O)C(=O)N(C)CC(=O)N[C@@H](C(C)C)C(=O)N[C@H](C(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,CHEMBL2372493,0.99224937,0.2906394,0.31011635,0.6315644,0.2727913,0.12101215,0.99416184,0.033584803,0.704367011667488,0.625447551710112,0.572501608935036,0.531598531678878,0.639471954793373,0.385564856708128,0.708692633716737,0.431100889328559,1190.58,,,,,Undefined,,0
COc1cc(/C=C/c2cc(OC)c(O)c(OC)c2)cc(OC)c1,CHEMBL383273,0.13756752,0.25407103,0.59162855,0.919901,0.82907665,0.7078962,0.12526938,0.25832325,0.745274554581795,0.520169328961178,0.617613504651385,0.477139083755568,0.480982665109473,0.493514580268054,0.567418975109471,0.53658499841819,316.35,3.6,8.89,,0,TRUE,0.83,0
CN/C(=N/CCSCc1nc[nH]c1C)NC#N,CHEMBL30,0.5076294,0.5045557,0.5786032,0.83159935,0.8353343,0.4024415,0.50879544,0.46323806,0.305527824988625,0.225766926619095,0.068958706607886,-0.109506425160315,0.242011526332905,0.183108281150352,0.768814321282891,0.52193693852033,252.35,0.6,13.38,6.91,0,TRUE,0.23,0
Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,CHEMBL655,0.4989273,0.61131686,0.66781545,0.83352935,0.802995,0.8322894,0.12125346,0.67172694,0.76693441994972,0.589156317948769,0.119784304175237,0.059973184559529,0.409791959826183,0.178197138682026,0.668043240734423,0.61890438337041,325.77,4.32,,6.19,0,TRUE,0.65,0
CC1(C)SSC(C)(C)[C@@H](NC(=O)[C@@H](N)Cc2ccc(O)cc2)C(=O)NCC(=O)N[C@H](Cc2ccccc2)C(=O)N[C@H]1C(=O)O,CHEMBL294616,0.7935341,0.32641008,0.5230763,0.74110216,0.54202425,0.51179373,0.8240689,0.10666147,0.727501994774526,0.341836606591376,0.541278626645624,0.379709650043437,0.68381505027503,0.270675256981304,0.318523432540591,0.325933142177072,645.8,1.11,3.69,7.73,3,FALSE,0.21,0
CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,CHEMBL1790041,0.5087599,0.50158584,0.65288585,0.82245076,0.8335808,0.40262812,0.5050914,0.4733271,0.195173488792122,0.024560733959697,0.059212444681439,-0.116109852916807,0.311384751979688,0.186774062338367,0.713479814748281,0.514690743651419,314.41,1.46,,7.8,0,TRUE,0.38,0
C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@]5(C)[C@H]6C[C@@H](O)[C@]7(C)[C@@H](C8=CC(=O)OC8)CC[C@]7(O)[C@@H]6CC[C@@H]5C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,CHEMBL1751,0.71971464,0.22183488,0.6579245,0.7963084,0.5552977,0.12189579,0.654162,0.10075903,0.65042476236775,0.56642847458308,0.299156748693267,0.254857160074119,0.536723103449498,0.245918679917043,0.295520430322165,0.212344141529284,780.95,2.22,7.15,,3,FALSE,0.16,0
CC/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)(C)O)C(=O)N[C@H](C(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,CHEMBL2372465,0.9386231,0.34460542,0.28704077,0.63941044,0.25802574,0.11464319,0.9393736,0.07501176,0.729701866522786,0.618291745966385,0.591857877427555,0.531186758997484,0.651696751293528,0.379488698848543,0.718222570570652,0.430714224737495,1232.66,,,,,Undefined,,0
C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@H](CC(C)C)C(=O)N[C@H](C(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,CHEMBL2372478,0.97044444,0.3105236,0.284967,0.6263699,0.26643735,0.1810301,0.95261955,0.023498952,0.706129099898491,0.607595699486288,0.611023455374934,0.555752514575246,0.638801084466071,0.384595684421434,0.704979590318675,0.421574879857788,1174.58,,,,,Undefined,,0
CC(C)[C@@H]1OC(=O)[C@@H](C)[C@@H](C)OC(=O)C[C@@H](O)[C@H](Cc2ccccc2)N(C)C1=O,CHEMBL37203,0.75293374,0.3597389,0.6447524,0.7210159,0.56059307,0.33906254,0.70191073,0.14392722,0.794157129389534,0.515695067264574,0.580229932040075,0.478494920633326,0.547457850518035,0.209451689523398,0.186593117495382,0.234389044838028,405.49,1.96,,,0,TRUE,0.77,0
CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,CHEMBL115,0.45725062,0.36706194,0.5889961,0.8286476,0.53462744,0.4375276,0.6232636,0.48697603,0.806631680551934,0.181064482597583,0.248686084729151,0.036527249810434,0.469207399694356,0.196762060671189,0.220452058766376,0.163870462340375,613.8,2.87,13.01,6.76,1,TRUE,0.26,0
COc1cc(C(=O)Nc2ccc(-c3cccc([N+](=O)[O-])c3)cc2)cc(OC)c1OC,CHEMBL1945309,0.07053375,0.4074106,0.63967496,0.9876046,0.7997762,0.74387974,0.19444361,0.46176004,0.776331876011152,0.580825453577652,0.58973130058147,0.441786892572525,0.665361931003734,0.368958365764617,0.619386982995327,0.570234861076936,408.41,4.54,,,0,TRUE,0.46,0
COc1cc(C(=O)Nc2ccc(-c3cc(OC)c(OC)c(OC)c3)cc2[N+](=O)[O-])cc(OC)c1OC,CHEMBL1945308,0.027654588,0.43361267,0.6825538,0.9847088,0.7457021,0.6994027,0.21032915,0.40790653,0.792141912107371,0.541712070463345,0.613637481727496,0.476837786671621,0.625391057965557,0.2783784190942,0.312592970000353,0.32186060992573,498.49,4.57,12.68,,1,TRUE,0.32,0
COc1cc(NC(=O)c2ccc(-c3ccccc3)cc2[N+](=O)[O-])cc(O)c1O,CHEMBL1945984,0.05751577,0.3883339,0.6933806,0.96101266,0.7878824,0.87023586,0.027813315,0.51350427,0.722922763485154,0.579052822400434,0.454840149806259,0.396491897619251,0.553056174781619,0.200704030852821,0.622970188754135,0.625894475717966,380.36,3.93,9.17,,0,TRUE,0.27,0
COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3ccc(C(=O)O)c(NC(=O)c4ccc5ccccc5n4)c3)cc1)CC2.O=C(O)C(F)(F)F,CHEMBL1779518,0.45634523,0.80690086,0.38505745,0.92251754,0.02749747,0.51456964,0.29428226,0.64352685,0.635534660113119,0.54256072391646,0.46266101043259,0.13561381748427,0.413018081923135,0.055368360793215,0.302419549308006,0.198097811076685,744.72,6.06,3.17,8.36,2,FALSE,0.17,0
COc1cc(/C=C/c2cccc(O)c2)cc(OC)c1,CHEMBL175736,0.13053599,0.26309836,0.59518874,0.9236028,0.8529169,0.7375758,0.104988575,0.28574443,0.68325427575335,0.518482065291078,0.564046621023212,0.48443047318707,0.398045926382881,0.500645277921452,0.702296588831898,0.595162173155434,256.3,3.58,8.92,,0,TRUE,0.85,0
COc1cc(OC)cc(-c2ccc3cc(OC)ccc3c2)c1,CHEMBL194888,0.10345638,0.31094772,0.7945814,0.93715066,0.8440579,0.7594816,0.14531487,0.47083592,0.829696615777077,0.601695298259005,0.612342717436045,0.504456686033374,0.29771582691755,0.418315849733101,0.668070035140064,0.596126323824063,294.35,4.53,,,0,TRUE,0.71,0
Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1,CHEMBL1380,0.5292276,0.10817361,0.735549,0.78102493,0.96991014,0.0178079,0.6776603,0.31729496,0.503569306716016,0.099955307599215,0.273569666480955,0.170373457735552,0.632448945680159,0.239129452292118,0.616477358343388,0.593841487604136,286.34,1.09,,5.8,0,TRUE,0.73,0
COCCOCCOCCOc1cc2c(cc1OC)CCN(CCc1ccc(NC(=O)c3ccc(C(=O)OC)c(NC(=O)c4ccc5ccccc5n4)c3)cc1)C2,CHEMBL1779526,0.45656183,0.8293958,0.39678332,0.92233497,0.6637148,0.50282764,0.44148576,0.5289707,0.329986932337502,0.324451764847669,0.480728249972054,0.147449771265297,0.326175529616455,0.028718633718157,-0.125247751407044,0.206955945344709,776.89,6.19,13.79,8.36,3,FALSE,0.07,0
COCCOCCOCCOc1cc2c(cc1OC)CCN(CCc1ccc(NC(=O)c3ccc(C(=O)O)c(NC(=O)c4ccc5ncccc5c4)c3)cc1)C2.O=C(O)C(F)(F)F,CHEMBL1779523,0.47235522,0.856709,0.4041755,0.92857194,0.01875037,0.5172779,0.46195447,0.53627056,0.407100810702024,0.296541611638102,0.527514291752588,0.17877462475959,0.416538011528595,0.062704944787309,0.302310589379706,0.195622153370259,876.88,6.11,3.17,8.36,3,FALSE,0.08,0
COCCOCCOCCOc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3ccc(C(=O)O)c(NC(=O)c4ccc5ccccc5n4)c3)cc1)CC2.O=C(O)C(F)(F)F,CHEMBL1779520,0.45110837,0.81665236,0.3938977,0.9211225,0.01915276,0.48953775,0.46199542,0.53570324,0.415147889992103,0.299258307011685,0.495722751620708,0.161434977578475,0.326281088270725,0.02471138250167,0.302179219030445,0.199393388537655,876.88,6.11,3.17,8.35,3,FALSE,0.08,0
CN(C)c1ccc2c(-c3ccc(C(=O)N4CCCCC4)s3)c3ccc(=[N+](C)C)cc-3sc2c1.F[P-](F)(F)(F)(F)F,CHEMBL2205786,0.26950127,0.9727631,0.6378537,0.8470468,0.02516359,0.52963346,0.40584892,0.9837423,0.504962513436068,0.54048177403723,0.148327628075302,-0.006091222713783,0.357474021003498,0.14919227273412,0.302378843270023,0.194442073124802,621.65,5.46,,3.29,1,TRUE,0.29,0
